n = 2000, X = 0.01697900
n = 4000, X = 0.07782100
n = 6000, X = 0.18345501
n = 8000, X = 0.35640699
n = 10000, X = 0.58345199
n = 12000, X = 0.94248402
n = 14000, X = 1.24724102
n = 16000, X = 1.91307998
n = 18000, X = 2.26569891
n = 20000, X = 3.45464301
n = 22000, X = 4.00676298
n = 24000, X = 4.50785398
n = 26000, X = 5.50677776
n = 28000, X = 6.08192587
n = 30000, X = 8.37380695
n = 32000, X = 9.10182762
n = 34000, X = 16.99645996
n = 36000, X = 20.64900398
n = 38000, X = 23.09621048
n = 40000, X = 27.77763557
n = 42000, X = 35.34361649
