n = 2000, X = 0.00725300
n = 4000, X = 0.03135200
n = 6000, X = 0.06670300
n = 8000, X = 0.12044200
n = 10000, X = 0.19245400
n = 12000, X = 0.27294001
n = 14000, X = 0.36247501
n = 16000, X = 0.48347399
n = 18000, X = 0.62781101
n = 20000, X = 0.77012902
n = 22000, X = 0.94138300
n = 24000, X = 1.08848095
n = 26000, X = 1.29352200
n = 28000, X = 1.47528195
n = 30000, X = 1.69216299
n = 32000, X = 1.91748703
n = 34000, X = 2.20485306
n = 36000, X = 2.52260900
n = 38000, X = 2.75519395
n = 40000, X = 3.09297895
n = 42000, X = 3.61098289
