 n = 2000,  time = 0.0035000003
 n = 4000,  time = 0.0135999992
 n = 6000,  time = 0.0299999975
 n = 8000,  time = 0.0569000021
 n = 10000, time = 0.0888999999
 n = 12000, time = 0.1267999860
 n = 14000, time = 0.1694000070
 n = 16000, time = 0.2252999840
 n = 18000, time = 0.2826000150
 n = 20000, time = 0.3535000090
 n = 22000, time = 0.4220999780
 n = 24000, time = 0.5048999190
 n = 26000, time = 0.5997999910
 n = 28000, time = 0.6808000210
 n = 30000, time = 0.7835000160
 n = 32000, time = 0.9380999800
 n = 34000, time = 1.0708000700
 n = 36000, time = 1.1512999500
 n = 38000, time = 1.2636001100
 n = 40000, time = 1.4027000700
 n = 42000, time = 1.5306999700
